place_id,place_name,city,state,source_url,final_resolved_url,http_status,page_title,source_quality,validation_result,audit_note
"manali-solang-valley","Solang Valley","Manali","Himachal Pradesh","https://himachaltourism.gov.in/destination/manali/","https://himachaltourism.gov.in/destination/manali/",200,"Manali - Himachal Tourism Official Website","place_specific","PASSED","Verified live HTTP 200 on 2026-09-10. Title: ""Manali - Himachal Tourism Official Website"""
"spiti-tabo-monastery","Tabo Monastery (Ajanta of the Himalayas)","Spiti Valley","Himachal Pradesh","https://whc.unesco.org/en/tentativelists/6055/","https://whc.unesco.org/en/tentativelists/6055/",200,"Cold Desert Cultural Landscape of India - UNESCO World Heritage Centre","place_specific","PASSED","Verified live HTTP 200 on 2026-09-10. Title: ""Cold Desert Cultural Landscape of India - UNESCO World Heritage Centre"""
"spiti-key-monastery","Key Monastery (Kye Gompa)","Spiti Valley","Himachal Pradesh","https://hplahaulspiti.nic.in/tourist-place/kye-monastery/","https://hplahaulspiti.nic.in/tourist-place/kye-monastery/",404,"Error 404 | District Lahaul and Spiti, Government of Himachal Pradesh | India","place_specific","FAILED","[Live Audit Failed 2026-09-10] HTTP 404 (Not Found)"
"spiti-chandratal-lake","Chandratal Lake (Moon Lake)","Spiti Valley","Himachal Pradesh","https://rsis.ramsar.org/ris/1569","https://rsis.ramsar.org/ris/1569",418,"Checking you are not a bot","place_specific","FAILED","[Live Audit Failed 2026-09-10] HTTP 418 (I'm a teapot (Bot Blocked))"
"dharamshala-tsuglagkhang","Tsuglagkhang Complex (Dalai Lama Temple)","Dharamshala","Himachal Pradesh","https://hpkangra.nic.in/tourist-place/tsuglagkhang-temple-mcleodganj/","https://hpkangra.nic.in/tourist-place/tsuglagkhang-temple-mcleodganj/",404,"Error 404 | District Kangra, Government of Himachal Pradesh | India","place_specific","FAILED","[Live Audit Failed 2026-09-10] HTTP 404 (Not Found)"
"kangra-fort","Kangra Fort (Nagarkot)","Kangra","Himachal Pradesh","https://hpkangra.nic.in/tourist-place/kangra-fort/","https://hpkangra.nic.in/tourist-place/kangra-fort/",200,"Kangra Fort | District Kangra, Government of Himachal Pradesh | India","place_specific","PASSED","Verified live HTTP 200 on 2026-09-10. Title: ""Kangra Fort | District Kangra, Government of Himachal Pradesh | India"""
"kangra-masrur-temples","Masrur Rock Cut Temples (Himalayan Pyramid)","Kangra","Himachal Pradesh","https://whc.unesco.org/en/tentativelists/5984/","https://whc.unesco.org/en/tentativelists/5984/",200,"","place_specific","FAILED","[Live Audit Failed 2026-09-10] UNESCO site title/content mismatch (Page Title: ""No Title"")"
"kullu-ghnp","Great Himalayan National Park (GHNP)","Kullu","Himachal Pradesh","https://whc.unesco.org/en/list/1406/","https://whc.unesco.org/en/list/1406/",200,"Great Himalayan National Park Conservation Area - UNESCO World Heritage Centre","place_specific","PASSED","Verified live HTTP 200 on 2026-09-10. Title: ""Great Himalayan National Park Conservation Area - UNESCO World Heritage Centre"""
"amritsar-jallianwala-bagh","Jallianwala Bagh National Memorial","Amritsar","Punjab","https://amritsar.nic.in/tourist-place/jallianwala-bagh/","https://amritsar.nic.in/tourist-place/jallianwala-bagh/",404,"Error 404 | District Amritsar, Government of Punjab | India","place_specific","FAILED","[Live Audit Failed 2026-09-10] HTTP 404 (Not Found)"
"amritsar-partition-museum","The Partition Museum, Town Hall","Amritsar","Punjab","https://www.partitionmuseum.org","https://www.partitionmuseum.org/",200,"Partition Museum | Amritsar","official_site","PASSED","Verified live HTTP 200 on 2026-09-10. Title: ""Partition Museum | Amritsar"""
"patiala-qila-mubarak","Qila Mubarak Complex","Patiala","Punjab","https://patiala.nic.in/tourist-place/qila-mubarak/","https://patiala.nic.in/tourist-place/qila-mubarak/",404,"Error 404 | District Patiala, Government of Punjab | India","place_specific","FAILED","[Live Audit Failed 2026-09-10] HTTP 404 (Not Found)"
"anandpur-virasat-e-khalsa","Virasat-e-Khalsa Museum","Anandpur Sahib","Punjab","https://rupnagar.nic.in/tourist-place/virasat-e-khalsa/","https://rupnagar.nic.in/tourist-place/virasat-e-khalsa/",200,"Virasat-e-Khalsa | Rupnagar Web Portal | India","place_specific","PASSED","Verified live HTTP 200 on 2026-09-10. Title: ""Virasat-e-Khalsa | Rupnagar Web Portal | India"""
"jaipur-jantar-mantar","Jantar Mantar Observatory","Jaipur","Rajasthan","https://whc.unesco.org/en/list/1338/","https://whc.unesco.org/en/list/1338/",200,"The Jantar Mantar, Jaipur - UNESCO World Heritage Centre","place_specific","PASSED","Verified live HTTP 200 on 2026-09-10. Title: ""The Jantar Mantar, Jaipur - UNESCO World Heritage Centre"""
"udaipur-city-palace","City Palace Complex Udaipur","Udaipur","Rajasthan","https://www.eternalmewar.in","https://www.eternalmewar.in/",200,"House of Mewar | Oldest Serving Dynasty | Eternal Mewar","official_site","PASSED","Verified live HTTP 200 on 2026-09-10. Title: ""House of Mewar | Oldest Serving Dynasty | Eternal Mewar"""
"agra-fort","Agra Fort","Agra","Uttar Pradesh","https://whc.unesco.org/en/list/251/","https://whc.unesco.org/en/list/251/",200,"Agra Fort - UNESCO World Heritage Centre","place_specific","PASSED","Verified live HTTP 200 on 2026-09-10. Title: ""Agra Fort - UNESCO World Heritage Centre"""
"varanasi-kashi-vishwanath","Shri Kashi Vishwanath Temple & Corridor","Varanasi","Uttar Pradesh","https://shrikashivishwanath.org","https://shrikashivishwanath.org/",200,"Shri Kashi Vishwanath Official Web Portal","official_site","PASSED","Verified live HTTP 200 on 2026-09-10. Title: ""Shri Kashi Vishwanath Official Web Portal"""
